Year,Region,Drought_gdp,Extreme temperature_gdp,Flood_gdp,Storm_gdp,Wildfire_gdp,Drought_affected,Extreme temperature_affected,Flood_affected,Storm_affected,Wildfire_affected,Drought_deaths,Extreme temperature_deaths,Flood_deaths,Storm_deaths,Wildfire_deaths,Greenhouse gas emissions,Yearly average,Yearly anomaly average,Period,Total_Deaths,Total_Affected,Total_GDP_Loss
1988,South America,0.0028870024735776927,0.0,0.09066588711490893,0.002982437598380931,0.0,0,0,7853014,100000,0,0,77,904,37,0,11.028349,20.004111791666666,-0.4186043710833333,1975-1999,1018,7953014,0.09653532718686755
1989,Africa,0.0,0.0,9.100719424460432e-05,0.009535513407455853,0.0,8860000,0,1369391,66114,0,237,0,89,57,0,4.089607,23.930649583333334,-0.68521944,1975-1999,383,10295505,0.009626520601700456
1989,Asia,0.0,0.0,0.017184225372143737,0.010327638190954775,0.0,5000000,0,101866268,50653017,0,0,297,4272,3964,0,3.9272697,19.271478916666666,-0.5221287316666667,1975-1999,8533,157519285,0.02751186356309851
1989,Europe,0.013642507665869191,0.0,0.008654466421808135,0.0,0.0,3200000,0,6800,0,0,0,0,29,55,0,14.32663,9.598313806666667,0.33183207983333335,1975-1999,84,3206800,0.022296974087677328
1989,North America,0.0,0.0,0.0,0.05929796233839236,0.030461877459246767,0,0,24930,70264,25000,0,84,60,138,1,19.269932,24.84455791666667,-1.0139270966666667,1975-1999,283,120194,0.08975983979763913
1989,Oceania,0.0,0.0,0.0,0.015205240992044922,0.0,0,0,154,0,0,0,0,19,12,0,23.398878,24.550628458333335,0.08314522,1975-1999,31,154,0.015205240992044922
1989,South America,0.0,0.0,0.0008535192264447943,0.002845086575219249,0.0,0,0,1064444,45000,0,0,0,247,47,0,10.705624,19.80435625,-0.5665381758333333,1975-1999,294,1109444,0.0036986058016640435
1990,Africa,0.00013652714192282538,0.0036899607586657946,0.019084172661870503,0.030854414650098104,0.0,8066900,1000000,692368,0,0,0,0,315,2,0,4.092601,24.360352666666667,-0.191786129,1975-1999,317,9759268,0.05376507521255723
1990,Asia,0.00036421020195316205,0.0,0.015820237982364652,0.053662145633829525,0.0006259884327296861,254282,0,45700189,17049825,0,0,583,1685,4148,0,3.834115,19.4417985,-0.22061719133333335,1975-1999,6416,63004296,0.07047258225087702
1990,Europe,0.052584223472722985,0.0,0.007636846716312296,0.12369426491896081,0.012822461839134684,6000000,0,44388,0,0,0,5,19,257,0,14.492451,9.586451566666666,0.05748627833333336,1975-1999,281,6044388,0.19673779694713078
1990,North America,0.0,0.00028508993816750986,0.0013475182686902753,0.004896810005621135,0.0,0,0,186661,14168,0,0,391,104,208,0,19.338753,25.07225325,-0.702089612,1975-1999,703,200829,0.00652941821247892
1990,Oceania,0.0,0.0,0.030951333645297147,0.04162419279363594,0.0,0,0,6800,205105,0,0,0,12,10,0,24.790794,24.557623083333333,0.16710289408333334,1975-1999,22,211905,0.07257552643893309
1990,South America,0.0019435574544636833,0.0,0.0,0.0,0.0,2483160,0,45525,0,0,0,0,116,0,0,10.811609,19.992752,-0.3627500561666667,1975-1999,116,2528685,0.0019435574544636833
1991,Africa,0.08661811641595814,0.0,0.0018076847612818836,0.0,0.0,22652000,0,2150422,257800,0,0,0,522,40,5,4.115537,24.2127255,-0.5121960691666666,1975-1999,567,25060222,0.08842580117724003
1991,Asia,0.0,0.0,0.051318126007395465,0.0722639636863563,7.206551626054802e-05,7500000,450,224772797,22938659,8,2000,785,5114,146055,57,3.9515848,19.38736833333333,-0.45212845,1975-1999,154011,255211914,0.12365415521001231
1991,Europe,0.0,0.005991643360177916,0.017152239107726522,0.0074585065875930855,0.0,0,0,57000,0,0,0,25,120,89,0,14.002739,8.533720338333334,-0.5623478891666666,1975-1999,234,57000,0.030602389055497524
