date,tmax,tmin,tmed
09/1991,27.4,15.54,21.47
10/1991,19.64,9.93,14.79
11/1991,16.23,7.62,11.93
12/1991,14.19,5.77,9.98
01/1992,12.3,2.42,7.36
02/1992,15.26,4.17,9.71
03/1992,18.78,6.91,12.85
04/1992,20.05,8.62,14.34
05/1992,24.02,12.14,18.08
06/1992,22.63,12.56,17.59
07/1992,30.14,16.37,23.26
08/1992,29.21,16.42,22.82
09/1992,25.74,13.13,19.43
10/1992,18.48,10.02,14.25
11/1992,17.6,8.98,13.29
12/1992,13.81,6.77,10.29
01/1993,13.27,3.43,8.35
02/1993,15.2,4.8,10
03/1993,17.01,6.53,11.77
04/1993,17.33,7.6,12.46
05/1993,18.99,10.26,14.63
06/1993,25.09,14.08,19.59
07/1993,30.16,15.95,23.05
08/1993,28.79,15.59,22.19
09/1993,22.51,12.82,17.66
10/1993,17.74,9.76,13.75
11/1993,15.26,7.23,11.25
12/1993,13.73,6.44,10.09
01/1994,13.08,4.59,8.84
02/1994,13.51,4.71,9.11
03/1994,19.63,8.29,13.96
04/1994,18.54,7.25,12.89
05/1994,20.15,10.77,15.46
06/1994,27.35,14.42,20.89
07/1994,28.62,15.5,22.06
08/1994,28.76,15.88,22.32
09/1994,24.58,12.74,18.66
10/1994,21.52,12.88,17.2
11/1994,18.1,9.28,13.69
12/1994,14.82,6.84,10.83
01/1995,13.86,5.67,9.77
02/1995,15.12,6.62,10.87
03/1995,18.09,7,12.54
04/1995,21.59,8.63,15.11
05/1995,23.35,12.32,17.84
06/1995,26.36,14.14,20.25
07/1995,28.99,16.27,22.63
08/1995,30.34,16.67,23.51
09/1995,24.18,13.06,18.62
10/1995,24.27,12.87,18.57
11/1995,17.72,10.71,14.21
12/1995,14.19,8.18,11.18
01/1996,13.4,7.51,10.46
02/1996,12.89,4.52,8.71
03/1996,16.5,7.45,11.98
04/1996,19.79,9.44,14.61
05/1996,20.7,10.95,15.82
06/1996,28.83,15.11,21.97
07/1996,29.91,16.75,23.33
08/1996,27.62,15.06,21.34
09/1996,24.76,13.55,19.16
10/1996,22.26,11.01,16.64
11/1996,16.96,7.83,12.39
12/1996,13.87,6.95,10.41
01/1997,12.91,5.3,9.11
02/1997,15.56,7.16,11.36
03/1997,23.31,8.63,15.97
04/1997,22.63,11.15,16.89
05/1997,21.51,11.73,16.62
06/1997,23,13.17,18.09
07/1997,28.42,16.24,22.33
08/1997,29.01,16.25,22.63
09/1997,28.12,15.52,21.82
10/1997,23.85,13.81,18.83
11/1997,16.88,10.22,13.55
12/1997,14.23,7.11,10.67
01/1998,13.8,6.69,10.25
02/1998,15.84,7.46,11.65
03/1998,20.08,8.08,14.08
04/1998,16.72,8.33,12.52
05/1998,20.98,11.23,16.11
06/1998,25.36,13.61,19.48
07/1998,29.1,15.91,22.51
08/1998,30.97,17.28,24.13
09/1998,25.58,15.09,20.34
10/1998,21.32,10.36,15.84
11/1998,17.46,7.9,12.68
12/1998,13.65,3.29,8.47
01/1999,13.19,4.46,8.82
02/1999,14.99,3.54,9.27
03/1999,16.82,10.04,13.43
04/1999,19.63,9.12,14.38
05/1999,21.42,11.75,16.59
06/1999,26.39,13.71,20.05
